Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
659758	"Mitsui O.S.K.Lines,Ltd."	Mitsui OSK Lines	JPY	SHARE	TKS	"8,571.0"
659777	"Miura Co., Ltd."	Miura	JPY	SHARE	TKS	"6,047.0"
691670	Mizrahi Tefahot Bank Ltd	Mizrahi Tefahot Bank	ILS	SHARE	TAE	"7,632.0"
659101	"Mizuho Financial Group, Inc."	Mizuho Financial Group	JPY	SHARE	TKS	"54,492.0"
672879	MMG Ltd.	MMG	HKD	SHARE	HKG	"4,238.0"
660008	Mobile Telecommunications Co. KSC	Mobile Telecommunications	KWD	SHARE	KUW	#N/A
B2QG18	Mobile Telecommunications Co. Saudi Arabia	ZAIN KSA	SAR	SHARE	SAU	#N/A
BGSXTS	"Moderna, Inc."	Moderna	USD	SHARE	NAS	"2,700.0"
259869	"Mohawk Industries, Inc."	Mohawk Industries	USD	SHARE	NYS	"43,000.0"
BD5ZXH	MOL Hungarian Oil & Gas Plc Class A	MOL Hungarian Oil Gas A	HUF	SHARE	BUD	"24,948.0"
221270	"Molina Healthcare, Inc."	Molina Healthcare	USD	SHARE	NYS	"14,000.0"
B067BM	Molson Coors Beverage Company Class B	Molson Coors Beverage B	USD	SHARE	NYS	"16,300.0"
BJYP11	momo.com Incorporated	momo.com	TWD	SHARE	TAI	#N/A
BGLP23	Moncler SpA	Moncler	EUR	SHARE	MIL	"5,290.0"
BMDTTT	Monde Nissin Corp.	Monde Nissin	PHP	SHARE	PHS	"4,846.0"
B8CKK0	"Mondelez International, Inc. Class A"	Mondelez Intl A	USD	SHARE	NAS	"79,000.0"
B1CRLC	Mondi plc	Mondi	GBP	SHARE	LON	"26,500.0"
BD3CQ1	MONETA Money Bank AS	MONETA Money Bank	CZK	SHARE	PRA	"3,003.0"
BF2FJ9	"MongoDB, Inc. Class A"	MongoDB A	USD	SHARE	NAS	"3,544.0"
B01Z7J	"Monolithic Power Systems, Inc."	Monolithic Power Systems	USD	SHARE	NAS	"2,773.0"
B1GHR8	"MonotaRO Co., Ltd."	MonotaRO	JPY	SHARE	TKS	994.0
BZ07BW	Monster Beverage Corporation	Monster Beverage	USD	SHARE	NAS	"4,092.0"
225205	Moody's Corporation	Moody's	USD	SHARE	NYS	"13,460.0"
226231	Morgan Stanley	Morgan Stanley	USD	SHARE	NYS	"74,814.0"
B3NPHP	Mosaic Company	Mosaic	USD	SHARE	NYS	"12,525.0"
674399	Motherson Sumi Systems Limited	Motherson Sumi Systems	INR	SHARE	BOM	"170,100.0"
B5BKPQ	"Motorola Solutions, Inc."	Motorola Solutions	USD	SHARE	NYS	"18,700.0"
B403QG	Mouwasat Medical Services Co.	Mouwasat	SAR	SHARE	SAU	#N/A
B02L48	Mowi ASA	Mowi	NOK	SHARE	OSL	"13,984.0"
615159	Mphasis Limited	Mphasis	INR	SHARE	BOM	"28,705.0"
BYXW41	Mr Price Group Limited	Mr Price Group	ZAR	SHARE	JSE	"19,262.0"
